Ключ,Нашёл в целевом дне,Новых крео в базу,Карточек просмотрено,Срезов,Какие статусы прошли,Примечание
hair roots,14608,2581,20750,2,active+inactive,""
diagnosis,13773,1016,22644,2,active+inactive,""
scalp,12194,1727,19319,2,active+inactive,""
parent,11148,1946,25688,2,active+inactive,""
specialist,10879,619,19039,2,active+inactive,""
event,10651,1420,11587,2,active+inactive,""
music,10637,3050,11569,2,active+inactive,""
loan,10552,3928,25971,2,active+inactive,""
heart rhythm,10416,75,16788,2,active+inactive,""
Diet,9890,1973,18712,2,active+inactive,""
subscription,9242,2548,12093,1,только inactive,active-срез не отработал
Mines,9134,1244,17103,2,active+inactive,""
refund,8965,724,13122,1,только inactive,active-срез не отработал
muscle,8835,220,21223,3,active+inactive,""
discomfort,8762,734,19851,3,active+inactive,""
fat,8450,252,16982,2,active+inactive,""
body transformation,8402,1003,18808,2,active+inactive,""
infection,8316,1370,17776,2,active+inactive,""
gaming,8138,1723,17177,2,active+inactive,""
allergy,8118,1603,17130,2,active+inactive,""
extract,8045,541,19047,2,active+inactive,""
Casino,7984,566,11319,2,active+inactive,""
feel the thrill,7929,709,11300,1,только active,""
agency,7662,2256,12312,1,только inactive,active-срез не отработал
dental,7371,1788,16914,2,active+inactive,""
aging,7007,402,15415,1,только inactive,active-срез не отработал
capsules,6983,1277,17408,2,active+inactive,""
clinical,6916,354,12306,1,только inactive,active-срез не отработал
attraction,6857,1143,15600,2,active+inactive,""
Card count,6800,174,13709,2,active+inactive,""
Parasites,6714,1703,12699,2,active+inactive,""
ingredient,6594,210,19431,2,active+inactive,""
betting,6593,931,10306,2,active+inactive,""
Fairy Queen,6474,1203,12129,3,active+inactive,""
remedy,6223,1524,11070,2,active+inactive,""
blood sugar control,6129,80,14125,2,active+inactive,""
waist,6124,817,17283,2,active+inactive,""
sex,6059,554,17941,2,active+inactive,""
lens,5947,1104,14524,2,active+inactive,""
inflammation,5901,983,14818,2,active+inactive,""
joint,5834,81,10150,1,только active,""
healing,5730,422,15715,2,active+inactive,""
accessory,5528,1672,16417,2,active+inactive,""
bonus buy,5385,186,12540,2,active+inactive,""
mortgage,5372,831,8920,2,active+inactive,""
crypto,5356,1738,9503,2,active+inactive,""
cat,5341,1459,10692,2,active+inactive,""
application,5333,1940,16138,1,только active,""
bet,5324,228,11880,2,active+inactive,""
insulin,5141,110,9102,2,active+inactive,""
Weight loss,5139,235,12672,3,active+inactive,""
academy,5033,1171,12293,1,только active,""
Bet slip,5007,829,12699,2,active+inactive,""
Fruit Million,4998,112,10472,2,active+inactive,""
Diabetes,4851,748,10141,2,active+inactive,""
apparel,4833,2243,8347,2,active+inactive,""
anti-aging,4828,100,8920,2,active+inactive,""
heart attack,4774,36,12181,2,active+inactive,""
BetWinner,4728,154,12497,2,active+inactive,""
education,4716,868,13134,1,только active,""
metabolism,4712,146,11728,2,active+inactive,""
disease,4709,262,9736,1,только active,""
heart health,4689,16,12611,2,active+inactive,""
heart support,4606,19,14100,2,active+inactive,""
fertility,4590,1187,7257,2,active+inactive,""
Bonus inside,4499,136,13181,2,active+inactive,""
figure,4387,104,4659,2,active+inactive,""
card games,4317,166,5617,1,только inactive,active-срез не отработал
lifting,4084,142,15900,2,active+inactive,""
Joints,4072,336,5818,1,только inactive,active-срез не отработал
investment,4062,811,10874,2,active+inactive,""
effect,4011,383,10422,1,только active,""
complex,4006,298,12868,2,active+inactive,""
dysfunction,3925,1238,8295,2,active+inactive,""
Chip leader,3918,77,6944,3,active+inactive,""
worms,3913,422,7236,2,active+inactive,""
guess the match,3849,146,14328,1,только active,""
calories,3827,540,9297,2,active+inactive,""
test your skills,3800,40,3861,1,только active,""
fatigue,3777,155,8911,2,active+inactive,""
clothing,3753,1399,15388,2,active+inactive,""
flight,3677,1025,9844,1,только active,""
stiffness,3445,1261,14044,2,active+inactive,""
collagen,3438,2,7409,1,только inactive,active-срез не отработал
digestion,3431,175,8888,2,active+inactive,""
Big payout,3368,45,5235,2,active+inactive,""
finance,3358,858,9212,2,active+inactive,""
CrazyJackpot,3358,26,4402,2,active+inactive,""
reward,3292,343,8993,2,active+inactive,""
movie,3276,733,12731,1,только active,""
syrup,3218,223,6232,2,active+inactive,""
youth,3201,50,6911,2,active+inactive,""
Coin Master,3167,122,6452,2,active+inactive,""
renewal,3167,3,5895,2,active+inactive,""
blood circulation,3165,91,9989,2,active+inactive,""
bloating,3165,44,5483,1,только active,""
wrinkles,3104,296,6056,1,только inactive,active-срез не отработал
Bluff master,3058,268,4783,2,active+inactive,""
casino table,3047,5,4817,2,active+inactive,""
skincare,3010,758,6463,1,только inactive,active-срез не отработал
firmness,2993,71,7692,2,active+inactive,""
dating,2937,1024,12669,1,только active,""
blood vessels,2888,103,7245,2,active+inactive,""
100% bonus,2875,163,6874,2,active+inactive,""
injury,2874,56,7787,3,active+inactive,""
Big win,2874,34,8784,1,только active,""
1win,2823,109,8793,2,active+inactive,""
pleasure,2792,144,7744,2,active+inactive,""
pulse,2779,518,9962,2,active+inactive,""
concert,2772,1157,7905,2,active+inactive,""
Book of Shadows,2744,19,9246,2,active+inactive,""
toilet,2738,100,7153,1,только active,""
thirst,2733,278,6258,2,active+inactive,""
Book of ra,2724,276,9247,2,active+inactive,""
entertainment,2670,453,2821,1,только active,""
fracture,2661,416,7442,2,active+inactive,""
Fortune Rabbit,2646,56,5179,2,active+inactive,""
appetite,2628,160,8989,2,active+inactive,""
laptop,2624,354,7890,2,active+inactive,""
symptom,2604,58,8250,2,active+inactive,""
immunity,2580,175,6852,2,active+inactive,""
veins,2560,126,9180,2,active+inactive,""
toxins,2545,25,5656,1,только active,""
shoe,2541,676,7739,2,active+inactive,""
elasticity,2523,91,6248,2,active+inactive,""
concentrate,2433,818,5649,2,active+inactive,""
hair loss,2334,22,5095,2,active+inactive,""
bet live,2329,46,6968,1,только active,""
Casino experience,2318,29,3200,1,только inactive,active-срез не отработал
detox,2317,295,5308,2,active+inactive,""
Bet max,2310,75,3401,2,active+inactive,""
cosmetic,2305,600,7100,2,active+inactive,""
trading,2297,517,9020,1,только active,""
cash prize,2270,120,3623,2,active+inactive,""
astigmatism,2224,13,4607,2,active+inactive,""
software,2209,996,10643,1,только active,""
Bet bounty,2182,26,4435,3,active+inactive,""
Chicken road,2179,365,5233,2,active+inactive,""
regeneration,2128,154,3628,2,active+inactive,""
hair volume,2082,284,4200,1,только inactive,active-срез не отработал
quote,2080,529,5025,1,только inactive,active-срез не отработал
keratin,2062,74,14031,3,active+inactive,""
estimate,2051,370,4418,1,только inactive,active-срез не отработал
sperm,1972,1088,4243,2,active+inactive,""
abdomen,1938,166,6948,1,только active,""
tap to play,1909,20,1936,1,только active,""
tightening,1878,11,6495,2,active+inactive,""
Rejuvenation,1846,241,4678,2,active+inactive,""
clear vision,1833,35,4446,2,active+inactive,""
follicles,1794,116,5230,2,active+inactive,""
Balloon,1791,298,3660,2,active+inactive,""
Joker's Jewels,1779,82,3431,2,active+inactive,""
glucose,1766,80,4063,1,только active,""
webinar,1668,322,6532,2,active+inactive,""
stroke,1658,186,5535,1,только active,""
Potency,1655,121,4262,2,active+inactive,""
computer,1640,191,6345,2,active+inactive,""
cholesterol,1608,75,5450,2,active+inactive,""
Fortune Tiger,1524,221,3480,2,active+inactive,""
Chicken Train,1459,422,4412,3,active+inactive,""
composition,1436,90,1800,1,только inactive,active-срез не отработал
card game,1419,54,4732,1,только active,""
eye health,1407,7,3665,2,active+inactive,""
mobility,1386,333,3824,2,только inactive,active-срез не отработал
Fortune Dragon,1354,219,7040,1,только active,""
1xBet,1334,18,2816,2,active+inactive,""
Fortune Spin,1328,76,2978,3,active+inactive,""
Claim bonus,1324,59,5656,2,active+inactive,""
thickness,1319,246,4049,2,active+inactive,""
weakness,1299,27,1940,2,active+inactive,""
nearsightedness,1287,13,3801,3,active+inactive,""
5 Lions,1262,191,3025,2,active+inactive,""
Coin strike,1257,191,3187,3,active+inactive,""
HotWin,1242,17,8146,1,только active,""
get rewards,1214,77,15083,1,только active,""
hair thickening,1203,16,3622,2,active+inactive,""
healthy blood vessels,1202,6,4242,2,active+inactive,""
daily tips,1191,205,5317,2,active+inactive,""
Starlight Princess,1167,21,2042,3,active+inactive,""
Quick bet,1163,4,7333,1,только active,""
Card shark,1154,43,2417,2,active+inactive,""
biotin,1149,12,3010,2,active+inactive,""
Lucky draw,1128,13,4678,1,только active,""
daily rewards,1122,512,3630,2,active+inactive,""
gold coins,1122,61,12969,1,только active,""
blood sugar level,1111,138,2415,1,только inactive,active-срез не отработал
Money wheel,1097,21,13299,1,только active,""
JetX,1093,134,2835,2,active+inactive,""
pancreas,1075,28,2220,2,active+inactive,""
Funny Cats,1063,167,3215,2,active+inactive,""
duration,1046,137,3669,2,active+inactive,""
financing,1033,260,1600,1,только inactive,active-срез не отработал
fat burning,990,21,2443,1,только active,""
lutein,989,25,2009,2,active+inactive,""
double chance,981,9,2648,2,active+inactive,""
play cards,973,72,10457,1,только active,""
22Win,943,134,2818,2,active+inactive,""
cartilage,941,615,3413,2,active+inactive,""
dizziness,933,24,4279,2,active+inactive,""
hair nutrition,910,63,2621,2,active+inactive,""
22Bet,907,53,2207,2,active+inactive,""
parasite eggs,896,10,3025,1,только active,""
retina,872,90,2631,2,active+inactive,""
Daily bonus,870,10,3450,2,active+inactive,""
libido,861,168,2620,2,active+inactive,""
Hypertension,859,118,2645,2,active+inactive,""
Stake,843,74,8287,1,только active,""
