Ключ,Нашёл в целевом дне,Новых крео в базу,Карточек просмотрено,Срезов,Какие статусы прошли,Примечание
hair roots,14670,2582,21222,3,active+inactive,""
diagnosis,13773,1016,22644,2,active+inactive,""
apply,13438,200,18915,5,active+inactive,""
healthy,13171,36,20588,6,active+inactive,""
scalp,12194,1727,19319,2,active+inactive,""
parent,11148,1946,25688,2,active+inactive,""
specialist,10879,619,19039,2,active+inactive,""
event,10651,1420,11587,3,active+inactive,""
music,10637,3050,11569,3,active+inactive,""
loan,10552,3928,25971,3,active+inactive,""
heart rhythm,10453,77,17511,3,active+inactive,""
NoLimit City,10397,267,19385,4,active+inactive,""
win now,9908,160,16192,5,active+inactive,""
Diet,9890,1973,18712,2,active+inactive,""
subscription,9242,2548,12093,3,active+inactive,""
Mines,9134,1244,17103,2,active+inactive,""
refund,8965,724,13122,3,active+inactive,""
muscle,8835,220,21223,4,active+inactive,""
discomfort,8762,734,19851,4,active+inactive,""
fat,8450,252,16982,3,active+inactive,""
Weight loss,8426,253,23992,5,active+inactive,""
body transformation,8402,1003,18808,2,active+inactive,""
infection,8316,1370,17776,2,active+inactive,""
gaming,8138,1723,17177,3,active+inactive,""
allergy,8118,1603,17130,2,active+inactive,""
extract,8045,541,19047,2,active+inactive,""
Casino,7984,566,11319,2,active+inactive,""
feel the thrill,7959,710,12024,3,active+inactive,""
attraction,7796,1169,17607,3,active+inactive,""
agency,7710,2256,12362,3,active+inactive,""
dental,7371,1788,16914,2,active+inactive,""
All in,7256,551,11303,5,active+inactive,""
aging,7008,402,15425,3,active+inactive,""
capsules,6983,1277,17408,2,active+inactive,""
heart attack,6975,60,23102,4,active+inactive,""
clinical,6916,354,12306,2,active+inactive,""
Card count,6800,174,13720,3,active+inactive,""
Parasites,6714,1703,12699,2,active+inactive,""
ingredient,6594,210,19431,2,active+inactive,""
betting,6593,931,10306,2,active+inactive,""
Fairy Queen,6475,1203,12138,4,active+inactive,""
blood sugar control,6316,80,14786,3,active+inactive,""
remedy,6223,1524,11070,2,active+inactive,""
waist,6124,817,17283,3,active+inactive,""
sex,6059,554,17941,2,active+inactive,""
lens,5947,1104,14524,2,active+inactive,""
inflammation,5901,983,14818,2,active+inactive,""
heart health,5876,33,24846,4,active+inactive,""
joint,5834,81,10150,2,active+inactive,""
healing,5730,422,15715,3,active+inactive,""
accessory,5528,1672,16417,3,active+inactive,""
bonus buy,5395,191,12646,3,active+inactive,""
mortgage,5372,831,8920,2,active+inactive,""
crypto,5356,1738,9503,3,active+inactive,""
cat,5341,1459,10692,3,active+inactive,""
application,5333,1940,16138,3,active+inactive,""
bet,5324,228,11880,3,active+inactive,""
insulin,5141,110,9102,2,active+inactive,""
fertility,5120,1188,9261,3,active+inactive,""
academy,5033,1171,12293,3,active+inactive,""
stiffness,5015,1265,16049,3,active+inactive,""
Bet slip,5007,829,12703,3,active+inactive,""
Fruit Million,4998,112,10472,3,active+inactive,""
Diabetes,4851,748,10141,2,active+inactive,""
apparel,4833,2243,8347,3,active+inactive,""
anti-aging,4828,100,8920,2,active+inactive,""
card games,4749,172,8711,4,active+inactive,""
BetWinner,4728,154,12497,2,active+inactive,""
education,4716,868,13134,3,active+inactive,""
metabolism,4712,146,11728,2,active+inactive,""
disease,4709,262,9746,2,active+inactive,""
heart support,4606,19,14100,3,active+inactive,""
Bonus inside,4504,136,13312,3,active+inactive,""
figure,4387,104,4659,3,active+inactive,""
lifting,4084,142,15900,3,active+inactive,""
Joints,4072,336,5818,3,active+inactive,""
investment,4062,811,10874,4,active+inactive,""
effect,4011,383,10422,2,active+inactive,""
complex,4006,298,12868,3,active+inactive,""
dysfunction,3925,1238,8295,2,active+inactive,""
Chip leader,3919,77,6945,4,active+inactive,""
worms,3913,422,7236,2,active+inactive,""
guess the match,3849,146,14328,3,active+inactive,""
calories,3827,540,9297,2,active+inactive,""
test your skills,3823,40,4710,3,active+inactive,""
fatigue,3777,155,8911,3,active+inactive,""
clothing,3753,1399,15388,4,active+inactive,""
real estate,3706,113,5424,5,active+inactive,""
flight,3677,1025,9844,3,active+inactive,""
hair loss,3572,27,11507,4,active+inactive,""
collagen,3443,2,7419,3,active+inactive,""
digestion,3431,175,8888,2,active+inactive,""
Big payout,3373,45,5264,3,active+inactive,""
finance,3368,858,9222,4,active+inactive,""
CrazyJackpot,3358,26,4402,2,active+inactive,""
blood circulation,3331,94,13189,3,active+inactive,""
reward,3292,343,8993,3,active+inactive,""
Play now,3288,28,9684,4,active+inactive,""
movie,3276,733,12731,2,active+inactive,""
syrup,3218,223,6232,2,active+inactive,""
youth,3201,50,6911,3,active+inactive,""
Coin Master,3167,122,6597,3,active+inactive,""
renewal,3167,3,5895,2,active+inactive,""
bloating,3165,44,5483,2,active+inactive,""
wrinkles,3104,296,6056,3,active+inactive,""
Bluff master,3058,268,4783,3,active+inactive,""
casino table,3047,5,4827,4,active+inactive,""
skincare,3010,758,6463,3,active+inactive,""
RichWin,3004,4,18031,3,active+inactive,""
firmness,2993,71,7692,2,active+inactive,""
Big win,2969,35,10652,3,active+inactive,""
dating,2937,1024,12669,3,active+inactive,""
hair volume,2905,334,6736,4,active+inactive,""
100% bonus,2888,163,7211,3,active+inactive,""
blood vessels,2888,103,7245,3,active+inactive,""
injury,2874,56,7787,4,active+inactive,""
1win,2823,109,8793,3,active+inactive,""
pleasure,2792,144,7744,2,active+inactive,""
pulse,2779,518,9962,3,active+inactive,""
concert,2772,1157,7905,3,active+inactive,""
Book of Shadows,2746,19,9270,4,active+inactive,""
toilet,2738,100,7153,2,active+inactive,""
thirst,2733,278,6258,2,active+inactive,""
Book of ra,2724,276,9247,4,active+inactive,""
entertainment,2670,453,2821,3,active+inactive,""
fracture,2661,416,7442,2,active+inactive,""
Fortune Rabbit,2646,56,5179,3,active+inactive,""
appetite,2628,160,8989,3,active+inactive,""
laptop,2624,354,7890,3,active+inactive,""
symptom,2604,58,8250,2,active+inactive,""
puzzle game,2604,0,11182,3,active+inactive,""
immunity,2580,175,6852,2,active+inactive,""
veins,2560,126,9180,3,active+inactive,""
toxins,2545,25,5656,2,active+inactive,""
shoe,2541,676,7739,4,active+inactive,""
Cash out,2531,13,8325,4,active+inactive,""
elasticity,2523,91,6248,2,active+inactive,""
concentrate,2433,818,5649,2,active+inactive,""
cash prize,2349,120,4430,3,active+inactive,""
Real money,2336,27,8099,4,active+inactive,""
Casino experience,2333,29,3267,4,active+inactive,""
bet live,2329,46,6975,3,active+inactive,""
detox,2317,295,5308,2,active+inactive,""
Bet max,2312,75,3413,3,active+inactive,""
cosmetic,2305,600,7100,3,active+inactive,""
trading,2297,517,9020,3,active+inactive,""
clear vision,2240,43,10971,4,active+inactive,""
Real cash,2234,0,6038,4,active+inactive,""
astigmatism,2224,13,4607,2,active+inactive,""
software,2209,996,10643,3,active+inactive,""
Bet bounty,2182,26,4435,4,active+inactive,""
Chicken road,2179,365,5241,3,active+inactive,""
Just play,2159,9,5969,4,active+inactive,""
Free game,2154,8,5429,4,active+inactive,""
arthritis,2138,2403,7476,3,active+inactive,""
regeneration,2128,154,3628,2,active+inactive,""
safe bet,2095,7,8603,4,active+inactive,""
quote,2080,529,5025,3,active+inactive,""
fun game,2074,19,2950,4,active+inactive,""
estimate,2070,370,4458,3,active+inactive,""
keratin,2062,74,14031,3,active+inactive,""
Claim now,2051,4,4757,5,active+inactive,""
bet now,2044,0,2661,5,active+inactive,""
free money,2030,7,3909,4,active+inactive,""
burning,2025,3,2803,3,active+inactive,""
Easy money,2025,1,3427,5,active+inactive,""
Double down,2015,5,3297,5,active+inactive,""
Vision,2007,10,2228,5,active+inactive,""
Dice,2005,75,2005,3,active+inactive,""
Deposit,2004,20,2204,4,active+inactive,""
Hot hand,2003,3,2080,4,active+inactive,""
no deposit bonus,2001,2,2051,3,active+inactive,""
ears,2000,3,2604,4,active+inactive,""
Book of Sun,2000,2,2207,5,active+inactive,""
The Dog House,1998,1,2682,5,active+inactive,""
Bonus,1997,0,2009,2,только active,""
blood pressure,1996,0,2203,5,active+inactive,""
Bet / Bet now,1994,3,2201,5,active+inactive,""
Crash,1992,0,2200,4,active+inactive,""
spine,1991,3,2811,3,active+inactive,""
waste,1991,3,2202,4,active+inactive,""
gold,1989,3,2003,3,active+inactive,""
sugar,1988,0,2016,3,active+inactive,""
age,1988,0,2203,4,active+inactive,""
Lucky Go,1987,0,2041,4,active+inactive,""
shoulder,1986,1,2206,5,active+inactive,""
Lucky Time,1986,0,2011,4,active+inactive,""
Lucky Day,1985,34,2003,3,active+inactive,""
Lucky Money,1984,10,2016,4,active+inactive,""
Cold table,1983,1,2227,5,active+inactive,""
result,1980,4,2018,3,active+inactive,""
stomach,1979,0,2214,4,active+inactive,""
wear,1977,1,2209,4,active+inactive,""
beauty,1975,6,2417,4,active+inactive,""
sperm,1972,1088,4243,3,active+inactive,""
tap to play,1972,28,2941,3,active+inactive,""
eye,1971,0,2200,4,active+inactive,""
blood,1969,0,2215,4,active+inactive,""
drops,1968,28,2204,4,active+inactive,""
knee,1967,2405,10182,5,active+inactive,""
comfort,1967,5,2200,4,active+inactive,""
man,1964,1,2206,5,active+inactive,""
Play and earn,1959,0,2052,4,active+inactive,""
surgery,1958,0,2201,5,active+inactive,""
movement,1949,2,2225,5,active+inactive,""
play for fun,1947,1,2395,4,active+inactive,""
sound,1945,2,2216,4,active+inactive,""
claim your reward,1945,1,2972,5,active+inactive,""
problem,1944,3,2201,5,active+inactive,""
doctor,1944,0,2201,5,active+inactive,""
skin,1944,0,2217,4,active+inactive,""
join the challenge,1941,2,2658,4,active+inactive,""
abdomen,1938,166,6958,2,active+inactive,""
bleeding,1938,3,2203,4,active+inactive,""
Hair,1932,2,2401,4,active+inactive,""
weight,1925,2,2214,4,active+inactive,""
Hearing,1907,0,2213,5,active+inactive,""
swelling,1906,1382,8757,2,только active,""
Hit or stand,1903,2,2002,4,active+inactive,""
natural,1894,10,2205,4,active+inactive,""
walking,1894,0,2209,5,active+inactive,""
join the game,1890,0,2072,4,active+inactive,""
expert,1887,9,2206,4,active+inactive,""
desire,1882,2326,9157,4,active+inactive,""
tightening,1878,11,6495,2,active+inactive,""
pain,1873,0,2204,4,active+inactive,""
strength,1871,0,2401,4,active+inactive,""
formula,1871,0,2004,3,active+inactive,""
Rejuvenation,1846,241,4678,2,active+inactive,""
play with bonus,1844,0,1889,4,active+inactive,""
energy,1834,3,3221,5,active+inactive,""
confidence,1819,3,2222,4,active+inactive,""
body,1816,0,2208,4,active+inactive,""
well-being,1814,0,2205,4,active+inactive,""
follicles,1794,116,5230,2,active+inactive,""
therapy,1794,0,2006,3,active+inactive,""
Play and win,1792,1,2176,4,active+inactive,""
Balloon,1791,298,3660,3,active+inactive,""
treatment,1791,4,2209,4,active+inactive,""
health,1782,0,2217,5,active+inactive,""
Joker's Jewels,1780,82,3447,3,active+inactive,""
glucose,1766,80,4063,2,active+inactive,""
heart,1758,11,2411,4,active+inactive,""
place your bet,1751,1,2042,4,active+inactive,""
recovery,1744,1,2201,4,active+inactive,""
No deposit,1733,48,6831,4,active+inactive,""
Legacy of Dead,1698,0,2001,4,active+inactive,""
webinar,1668,322,6532,4,active+inactive,""
Dog House,1663,5,2256,4,active+inactive,""
stroke,1658,186,5535,2,active+inactive,""
Potency,1655,121,4262,2,active+inactive,""
computer,1640,191,6345,4,active+inactive,""
flat stomach,1621,6,5637,4,active+inactive,""
Rich Life,1614,0,1726,4,active+inactive,""
cholesterol,1608,75,5450,2,active+inactive,""
eye health,1590,12,6864,4,active+inactive,""
back,1568,2,2208,5,active+inactive,""
only today,1525,28,6649,4,active+inactive,""
Fortune Tiger,1524,221,3480,3,active+inactive,""
cracking,1500,1289,9533,5,active+inactive,""
No registration,1489,41,4627,4,active+inactive,""
cartilage,1471,617,5415,3,active+inactive,""
Chicken Train,1459,422,4415,4,active+inactive,""
composition,1436,90,1800,3,active+inactive,""
GoldenPlay,1427,2,2002,3,active+inactive,""
House edge,1421,0,2014,4,active+inactive,""
card game,1419,54,4732,2,active+inactive,""
mobility,1386,333,3834,4,active+inactive,""
Claim bonus,1386,59,5985,4,active+inactive,""
blood sugar level,1382,142,5035,4,active+inactive,""
gold coins,1377,61,16042,3,active+inactive,""
predict and win,1369,0,2002,4,active+inactive,""
Fortune Dragon,1356,219,7048,3,active+inactive,""
Real prizes,1354,1,6873,4,active+inactive,""
game app,1338,3,2224,4,active+inactive,""
1xBet,1334,18,2816,2,active+inactive,""
Fortune Spin,1328,76,2981,5,active+inactive,""
thickness,1319,246,4049,2,active+inactive,""
Risk and reward,1312,1,1344,4,active+inactive,""
guess the winner,1311,4,2004,4,active+inactive,""
fat burning,1301,25,9653,3,active+inactive,""
weakness,1299,27,1940,3,active+inactive,""
prostate,1297,185,4426,3,active+inactive,""
One click to play,1289,8,1318,4,active+inactive,""
nearsightedness,1287,13,3801,3,active+inactive,""
daily rewards,1279,513,4414,3,active+inactive,""
5 Lions,1263,191,3028,3,active+inactive,""
Coin strike,1258,191,3191,4,active+inactive,""
get rewards,1248,77,15473,3,active+inactive,""
HotWin,1242,17,8146,2,active+inactive,""
coins,1237,7,2001,2,active+inactive,""
promotion,1212,3,1216,3,active+inactive,""
Slots,1210,9,1226,3,active+inactive,""
healthy blood vessels,1207,6,4335,4,active+inactive,""
hair thickening,1203,16,4080,4,active+inactive,""
daily tips,1195,205,5736,3,active+inactive,""
Starlight Princess,1167,21,2042,4,active+inactive,""
Quick bet,1163,4,7335,3,active+inactive,""
Dealer's choice,1158,3,2439,5,active+inactive,""
Card shark,1155,43,2627,3,active+inactive,""
biotin,1149,12,3010,3,active+inactive,""
Lucky draw,1137,13,4850,3,active+inactive,""
promo,1123,889,4746,3,active+inactive,""
Instant win,1116,0,2116,4,active+inactive,""
install,1104,1795,4336,3,active+inactive,""
review,1104,1,1513,4,active+inactive,""
Money wheel,1097,21,13304,3,active+inactive,""
JetX,1093,134,2835,3,active+inactive,""
endurance,1085,3832,10493,3,active+inactive,""
Joker's Million,1080,28,2005,4,active+inactive,""
pancreas,1075,28,2220,3,active+inactive,""
Funny Cats,1063,167,3250,3,active+inactive,""
approved,1057,3,1078,3,active+inactive,""
Try now,1055,98,6699,5,active+inactive,""
the ultimate game night,1047,8,5631,4,active+inactive,""
duration,1046,137,3669,2,active+inactive,""
original,1045,35,1457,4,active+inactive,""
financing,1033,260,1600,3,active+inactive,""
play cards,1001,72,10852,3,active+inactive,""
lutein,989,25,2009,3,active+inactive,""
scratch & win,989,0,1019,4,active+inactive,""
double chance,981,9,2659,4,active+inactive,""
success,977,0,1210,4,active+inactive,""
free tips,976,2,2243,4,active+inactive,""
request,976,2,1212,4,active+inactive,""
be a winner,972,10,2541,5,active+inactive,""
Start spinning,965,4,5075,4,active+inactive,""
discount,965,2,995,3,active+inactive,""
trial,958,0,1097,3,active+inactive,""
subscribe,950,1187,7388,3,active+inactive,""
delivery,949,0,954,3,active+inactive,""
Slot,947,4,1236,3,active+inactive,""
22Win,943,134,2818,2,active+inactive,""
dizziness,933,24,4279,3,active+inactive,""
parasite eggs,933,10,4137,2,только active,""
certified,933,2,1057,3,active+inactive,""
secure,916,3,1551,4,active+inactive,""
hair nutrition,910,63,2638,3,active+inactive,""
22Bet,907,53,2207,2,active+inactive,""
spin & win,903,0,1257,4,active+inactive,""
trusted,900,0,947,3,active+inactive,""
download,892,1,1099,4,active+inactive,""
cheap,891,4,1104,4,active+inactive,""
exclusive,890,4,1172,4,active+inactive,""
tips and tricks,886,46,15308,4,active+inactive,""
constipation,875,25,2826,3,active+inactive,""
Daily bonus,874,10,3580,3,active+inactive,""
retina,872,90,2631,3,active+inactive,""
Jackpot,872,6,2012,3,active+inactive,""
libido,861,168,2620,2,active+inactive,""
Hypertension,859,118,2645,2,active+inactive,""
free rewards,850,1,2448,4,active+inactive,""
sign,845,0,1540,4,active+inactive,""
Stake,843,74,8287,2,active+inactive,""
Flint Treasure,842,95,2863,4,active+inactive,""
High stakes,840,0,2001,3,active+inactive,""
5 Lions Gold,837,2,1801,4,active+inactive,""
LuckyStar,836,8,1540,2,active+inactive,""
artery,830,84,4409,2,active+inactive,""
match results,830,31,12067,3,active+inactive,""
price,830,1,1109,4,active+inactive,""
male energy,827,668,5920,6,active+inactive,""
recommended,823,1337,11128,3,active+inactive,""
collection,823,1,1046,4,active+inactive,""
visit,821,0,1073,4,active+inactive,""
inner ear,816,10,4070,3,active+inactive,""
save,806,0,1688,3,active+inactive,""
available,805,0,1088,4,active+inactive,""
online,804,0,1041,4,active+inactive,""
special,800,6,1292,4,active+inactive,""
hair restoration,795,91,7403,3,active+inactive,""
guarantee,792,0,857,3,active+inactive,""
Energy Coins,789,51,2380,4,active+inactive,""
early,786,0,1057,4,active+inactive,""
sweet win,785,13,6686,3,active+inactive,""
premium,785,3,842,3,active+inactive,""
gift,783,1,1287,4,active+inactive,""
earn cash,772,34,14838,3,active+inactive,""
intestines,772,3,2025,3,active+inactive,""
test,764,1,1018,4,active+inactive,""
fast,762,0,1019,4,active+inactive,""
sun of egypt,759,98,4308,4,active+inactive,""
CashLuck,756,5,3029,3,active+inactive,""
casino games,750,17,2611,3,active+inactive,""
Big win casino,750,8,2095,3,active+inactive,""
