2026-08-05 13:10:37.971 | INFO     | app.proxy:get_provider:277 - [proxy] provider = PoolProvider (mode=pool)
2026-08-05 13:10:38.599 | INFO     | app.proxy:_ensure_loaded:245 - [proxy] pool loaded: 15500 IP(s)
2026-08-05 13:10:39.081 | WARNING  | app.browser:goto_with_challenge_retry:155 - __rd_verify challenge (attempt 1/4) — waiting 6s for auto-reload
2026-08-05 13:10:45.236 | INFO     | app.browser:goto_with_challenge_retry:166 - Challenge cleared after 1 wait(s)
2026-08-05 13:10:50.292 | INFO     | app.browser:_capture_impl:393 - [tokens] captured session (doc_id=24922295957467452, form_fields=28, has_lsd=True)
2026-08-05 13:10:50.292 | INFO     | app.graphql_paginator:paginate:559 - [paginate] session tokens ready (pages so far=0)
2026-08-05 13:10:52.944 | INFO     | app.graphql_paginator:_paginate_curl:385 - [curl] page=1 fetched_new=10 fetched_total=10 has_next=True
2026-08-05 13:10:55.465 | WARNING  | app.graphql_paginator:_paginate_curl:350 - [curl] page=2 transport error: Failed to perform, curl: (35) TLS connect error: error:00000000:invalid library (0):OPENSSL_internal:invalid library (0). See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=1)
2026-08-05 13:11:00.424 | INFO     | app.graphql_paginator:_paginate_curl:385 - [curl] page=2 fetched_new=10 fetched_total=20 has_next=True
2026-08-05 13:11:01.375 | WARNING  | app.graphql_paginator:_paginate_curl:350 - [curl] page=3 transport error: Failed to perform, curl: (97) connection to proxy closed. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=1)
2026-08-05 13:11:02.480 | WARNING  | app.graphql_paginator:_paginate_curl:350 - [curl] page=3 transport error: Failed to perform, curl: (97) connection to proxy closed. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=2)
2026-08-05 13:11:03.545 | WARNING  | app.graphql_paginator:_paginate_curl:350 - [curl] page=3 transport error: Failed to perform, curl: (97) connection to proxy closed. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=3)
2026-08-05 13:11:04.605 | WARNING  | app.graphql_paginator:_paginate_curl:350 - [curl] page=3 transport error: Failed to perform, curl: (97) connection to proxy closed. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=4)
2026-08-05 13:11:08.451 | INFO     | app.graphql_paginator:_paginate_curl:385 - [curl] page=3 fetched_new=10 fetched_total=30 has_next=True
2026-08-05 13:11:09.533 | WARNING  | app.graphql_paginator:_paginate_curl:350 - [curl] page=4 transport error: Failed to perform, curl: (97) connection to proxy closed. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=1)
2026-08-05 13:11:15.027 | INFO     | app.graphql_paginator:_paginate_curl:385 - [curl] page=4 fetched_new=10 fetched_total=40 has_next=True
2026-08-05 13:11:20.167 | INFO     | app.graphql_paginator:_paginate_curl:385 - [curl] page=5 fetched_new=10 fetched_total=50 has_next=True
2026-08-05 13:11:21.469 | WARNING  | app.graphql_paginator:_paginate_curl:350 - [curl] page=6 transport error: Failed to perform, curl: (97) connection to proxy closed. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=1)
2026-08-05 13:11:27.411 | INFO     | app.graphql_paginator:_paginate_curl:385 - [curl] page=6 fetched_new=10 fetched_total=60 has_next=True
2026-08-05 13:11:28.367 | WARNING  | app.graphql_paginator:_paginate_curl:350 - [curl] page=7 transport error: Failed to perform, curl: (97) connection to proxy closed. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=1)
2026-08-05 13:11:29.474 | WARNING  | app.graphql_paginator:_paginate_curl:350 - [curl] page=7 transport error: Failed to perform, curl: (97) connection to proxy closed. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=2)
2026-08-05 13:11:30.534 | WARNING  | app.graphql_paginator:_paginate_curl:350 - [curl] page=7 transport error: Failed to perform, curl: (97) connection to proxy closed. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=3)
2026-08-05 13:11:31.600 | WARNING  | app.graphql_paginator:_paginate_curl:350 - [curl] page=7 transport error: Failed to perform, curl: (97) Connection closed abruptly. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=4)
2026-08-05 13:11:32.704 | WARNING  | app.graphql_paginator:_paginate_curl:350 - [curl] page=7 transport error: Failed to perform, curl: (97) connection to proxy closed. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=5)
2026-08-05 13:11:38.001 | INFO     | app.graphql_paginator:_paginate_curl:385 - [curl] page=7 fetched_new=10 fetched_total=70 has_next=True
2026-08-05 13:11:38.636 | WARNING  | app.graphql_paginator:_paginate_curl:350 - [curl] page=8 transport error: Failed to perform, curl: (97) Connection closed abruptly. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=1)
2026-08-05 13:11:39.697 | WARNING  | app.graphql_paginator:_paginate_curl:350 - [curl] page=8 transport error: Failed to perform, curl: (97) connection to proxy closed. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=2)
2026-08-05 13:11:40.759 | WARNING  | app.graphql_paginator:_paginate_curl:350 - [curl] page=8 transport error: Failed to perform, curl: (97) connection to proxy closed. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=3)
2026-08-05 13:11:41.860 | WARNING  | app.graphql_paginator:_paginate_curl:350 - [curl] page=8 transport error: Failed to perform, curl: (97) Recv failure: Connection reset by peer. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=4)
2026-08-05 13:11:42.920 | WARNING  | app.graphql_paginator:_paginate_curl:350 - [curl] page=8 transport error: Failed to perform, curl: (97) Connection closed abruptly. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=5)
2026-08-05 13:11:44.022 | WARNING  | app.graphql_paginator:_paginate_curl:350 - [curl] page=8 transport error: Failed to perform, curl: (97) connection to proxy closed. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=6)
2026-08-05 13:11:45.127 | WARNING  | app.graphql_paginator:_paginate_curl:350 - [curl] page=8 transport error: Failed to perform, curl: (97) connection to proxy closed. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=7)
2026-08-05 13:11:46.186 | WARNING  | app.graphql_paginator:_paginate_curl:350 - [curl] page=8 transport error: Failed to perform, curl: (97) connection to proxy closed. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=8)
2026-08-05 13:11:47.245 | WARNING  | app.graphql_paginator:_paginate_curl:350 - [curl] page=8 transport error: Failed to perform, curl: (97) connection to proxy closed. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=9)
2026-08-05 13:11:48.351 | WARNING  | app.graphql_paginator:_paginate_curl:350 - [curl] page=8 transport error: Failed to perform, curl: (97) connection to proxy closed. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=10)
