2026-08-03 20:45:25.158 | INFO     | app.proxy:get_provider:277 - [proxy] provider = PoolProvider (mode=pool)
2026-08-03 20:45:25.733 | INFO     | app.proxy:_ensure_loaded:245 - [proxy] pool loaded: 15000 IP(s)
2026-08-03 20:45:26.191 | WARNING  | app.browser:goto_with_challenge_retry:155 - __rd_verify challenge (attempt 1/4) — waiting 6s for auto-reload
2026-08-03 20:45:32.290 | INFO     | app.browser:goto_with_challenge_retry:166 - Challenge cleared after 1 wait(s)
2026-08-03 20:45:37.343 | INFO     | app.browser:_capture_impl:393 - [tokens] captured session (doc_id=24922295957467452, form_fields=28, has_lsd=True)
2026-08-03 20:45:37.343 | INFO     | app.graphql_paginator:paginate:517 - [paginate] session tokens ready (pages so far=0)
2026-08-03 20:45:37.402 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=1 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=1)
2026-08-03 20:45:38.511 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=1 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=2)
2026-08-03 20:45:39.613 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=1 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=3)
2026-08-03 20:45:40.678 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=1 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=4)
2026-08-03 20:45:41.789 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=1 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=5)
2026-08-03 20:45:42.892 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=1 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=6)
2026-08-03 20:45:43.996 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=1 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=7)
2026-08-03 20:45:45.054 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=1 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=8)
2026-08-03 20:45:49.389 | INFO     | app.graphql_paginator:_paginate_curl:343 - [curl] page=1 fetched_new=10 fetched_total=10 has_next=True
2026-08-03 20:45:55.048 | INFO     | app.graphql_paginator:_paginate_curl:343 - [curl] page=2 fetched_new=10 fetched_total=20 has_next=True
2026-08-03 20:45:55.640 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=3 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=1)
2026-08-03 20:45:56.706 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=3 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=2)
2026-08-03 20:45:57.810 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=3 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=3)
2026-08-03 20:45:58.919 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=3 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=4)
2026-08-03 20:46:00.340 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=3 transport error: Failed to perform, curl: (35) TLS connect error: error:00000000:invalid library (0):OPENSSL_internal:invalid library (0). See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=5)
2026-08-03 20:46:01.403 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=3 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=6)
2026-08-03 20:46:02.465 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=3 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=7)
2026-08-03 20:46:03.571 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=3 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=8)
2026-08-03 20:46:04.680 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=3 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=9)
2026-08-03 20:46:05.740 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=3 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=10)
2026-08-03 20:46:06.800 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=3 transport error: Failed to perform, curl: (56) Recv failure: Connection reset by peer. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=11)
2026-08-03 20:46:07.907 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=3 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=12)
2026-08-03 20:46:09.014 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=3 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=13)
2026-08-03 20:46:10.079 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=3 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=14)
2026-08-03 20:46:13.940 | INFO     | app.graphql_paginator:_paginate_curl:343 - [curl] page=3 fetched_new=10 fetched_total=30 has_next=True
2026-08-03 20:46:15.163 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=4 transport error: Failed to perform, curl: (56) Connection closed abruptly. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=1)
2026-08-03 20:46:19.842 | INFO     | app.graphql_paginator:_paginate_curl:343 - [curl] page=4 fetched_new=10 fetched_total=40 has_next=True
2026-08-03 20:46:24.485 | INFO     | app.graphql_paginator:_paginate_curl:343 - [curl] page=5 fetched_new=10 fetched_total=50 has_next=True
2026-08-03 20:46:25.943 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=6 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=1)
2026-08-03 20:46:30.024 | INFO     | app.graphql_paginator:_paginate_curl:343 - [curl] page=6 fetched_new=10 fetched_total=60 has_next=True
2026-08-03 20:46:31.097 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=7 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=1)
2026-08-03 20:46:32.155 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=7 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=2)
2026-08-03 20:46:33.252 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=7 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=3)
2026-08-03 20:46:34.364 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=7 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=4)
2026-08-03 20:46:35.471 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=7 transport error: Failed to perform, curl: (56) Recv failure: Connection reset by peer. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=5)
2026-08-03 20:46:40.401 | INFO     | app.graphql_paginator:_paginate_curl:343 - [curl] page=7 fetched_new=10 fetched_total=70 has_next=True
2026-08-03 20:46:44.261 | INFO     | app.graphql_paginator:_paginate_curl:343 - [curl] page=8 fetched_new=10 fetched_total=80 has_next=True
2026-08-03 20:46:45.245 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=9 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=1)
2026-08-03 20:46:46.351 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=9 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=2)
2026-08-03 20:46:50.449 | INFO     | app.graphql_paginator:_paginate_curl:343 - [curl] page=9 fetched_new=10 fetched_total=90 has_next=True
2026-08-03 20:46:55.071 | INFO     | app.graphql_paginator:_paginate_curl:343 - [curl] page=10 fetched_new=10 fetched_total=100 has_next=True
2026-08-03 20:46:55.799 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=11 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=1)
2026-08-03 20:46:56.903 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=11 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=2)
2026-08-03 20:46:57.962 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=11 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=3)
2026-08-03 20:46:59.022 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=11 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=4)
2026-08-03 20:47:00.081 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=11 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=5)
2026-08-03 20:47:04.937 | INFO     | app.graphql_paginator:_paginate_curl:343 - [curl] page=11 fetched_new=10 fetched_total=110 has_next=True
2026-08-03 20:47:09.441 | INFO     | app.graphql_paginator:_paginate_curl:343 - [curl] page=12 fetched_new=10 fetched_total=120 has_next=True
2026-08-03 20:47:36.094 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=13 transport error: Failed to perform, curl: (35) TLS connect error: error:00000000:invalid library (0):OPENSSL_internal:invalid library (0). See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=1)
2026-08-03 20:47:44.234 | INFO     | app.graphql_paginator:_paginate_curl:343 - [curl] page=13 fetched_new=10 fetched_total=130 has_next=True
2026-08-03 20:47:48.749 | INFO     | app.graphql_paginator:_paginate_curl:343 - [curl] page=14 fetched_new=10 fetched_total=140 has_next=True
2026-08-03 20:47:50.039 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=15 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=1)
2026-08-03 20:47:51.146 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=15 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=2)
2026-08-03 20:47:52.252 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=15 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=3)
2026-08-03 20:47:53.354 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=15 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=4)
2026-08-03 20:47:54.414 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=15 transport error: Failed to perform, curl: (56) Recv failure: Connection reset by peer. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=5)
2026-08-03 20:47:55.513 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=15 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=6)
2026-08-03 20:47:56.571 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=15 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=7)
2026-08-03 20:48:13.632 | INFO     | app.graphql_paginator:_paginate_curl:343 - [curl] page=15 fetched_new=10 fetched_total=150 has_next=True
2026-08-03 20:48:18.102 | INFO     | app.graphql_paginator:_paginate_curl:343 - [curl] page=16 fetched_new=9 fetched_total=159 has_next=True
2026-08-03 20:48:19.232 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=17 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=1)
2026-08-03 20:48:20.335 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=17 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=2)
2026-08-03 20:48:21.438 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=17 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=3)
2026-08-03 20:48:26.398 | INFO     | app.graphql_paginator:_paginate_curl:343 - [curl] page=17 fetched_new=10 fetched_total=169 has_next=True
2026-08-03 20:48:27.160 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=18 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=1)
2026-08-03 20:48:28.269 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=18 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=2)
2026-08-03 20:48:33.002 | INFO     | app.graphql_paginator:_paginate_curl:343 - [curl] page=18 fetched_new=10 fetched_total=179 has_next=True
2026-08-03 20:48:38.648 | INFO     | app.graphql_paginator:_paginate_curl:343 - [curl] page=19 fetched_new=10 fetched_total=189 has_next=True
2026-08-03 20:48:43.431 | INFO     | app.graphql_paginator:_paginate_curl:343 - [curl] page=20 fetched_new=10 fetched_total=199 has_next=True
2026-08-03 20:48:45.055 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=21 transport error: Failed to perform, curl: (35) TLS connect error: error:00000000:invalid library (0):OPENSSL_internal:invalid library (0). See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=1)
2026-08-03 20:48:46.162 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=21 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=2)
2026-08-03 20:48:47.227 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=21 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=3)
2026-08-03 20:48:48.333 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=21 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=4)
2026-08-03 20:48:52.939 | INFO     | app.graphql_paginator:_paginate_curl:343 - [curl] page=21 fetched_new=10 fetched_total=209 has_next=True
2026-08-03 20:48:57.455 | INFO     | app.graphql_paginator:_paginate_curl:343 - [curl] page=22 fetched_new=9 fetched_total=218 has_next=True
2026-08-03 20:49:02.012 | INFO     | app.graphql_paginator:_paginate_curl:343 - [curl] page=23 fetched_new=10 fetched_total=228 has_next=True
2026-08-03 20:49:07.135 | INFO     | app.graphql_paginator:_paginate_curl:343 - [curl] page=24 fetched_new=10 fetched_total=238 has_next=True
2026-08-03 20:49:11.085 | INFO     | app.graphql_paginator:_paginate_curl:343 - [curl] page=25 fetched_new=10 fetched_total=248 has_next=True
2026-08-03 20:49:25.828 | INFO     | app.graphql_paginator:_paginate_curl:343 - [curl] page=26 fetched_new=10 fetched_total=258 has_next=True
2026-08-03 20:49:29.554 | INFO     | app.graphql_paginator:_paginate_curl:343 - [curl] page=27 fetched_new=10 fetched_total=268 has_next=True
2026-08-03 20:49:33.156 | INFO     | app.graphql_paginator:_paginate_curl:343 - [curl] page=28 fetched_new=10 fetched_total=278 has_next=True
2026-08-03 20:49:40.026 | INFO     | app.graphql_paginator:_paginate_curl:343 - [curl] page=29 fetched_new=10 fetched_total=288 has_next=True
2026-08-03 20:49:44.480 | INFO     | app.graphql_paginator:_paginate_curl:343 - [curl] page=30 fetched_new=9 fetched_total=297 has_next=False
2026-08-03 20:49:44.480 | INFO     | app.graphql_paginator:_paginate_curl:363 - [curl] no cursor — end of results
2026-08-03 20:49:44.490 | INFO     | app.graphql_paginator:paginate:587 - [paginate] done: has_next=False, natural end (297 ads) over 30 pages (mode=auto)
2026-08-03 20:49:44.951 | WARNING  | app.browser:goto_with_challenge_retry:155 - __rd_verify challenge (attempt 1/4) — waiting 6s for auto-reload
2026-08-03 20:49:51.038 | INFO     | app.browser:goto_with_challenge_retry:166 - Challenge cleared after 1 wait(s)
2026-08-03 20:50:31.089 | INFO     | app.browser:_capture_impl:369 - [tokens] поиск вернул 0 объяв (пагинации нет) at https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=US&q=%D0%BF%D1%80%D0%BE%D1%81%D1%82%D0%B0%D1%82%D0%B8%D1%82&search_type=keyword_unordered&media_type=all&sort_data%5Bmode%5D=total_impressions&sort_data%5Bdirection%5D=desc
2026-08-03 20:50:31.127 | INFO     | app.graphql_paginator:paginate:512 - [paginate] нет пагинации (малый/пустой результат) — DOM-fallback: https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=US&q=%D0%BF%D1%80%D0%BE%D1%81%D1%82%D0%B0%D1%82%D0%B8%D1%82&search_type=keyword_unordered&media_type=all&sort_data%5Bmode%5D=total_impressions&sort_data%5Bdirection%5D=desc
