2026-08-03 18:37:22.836 | INFO     | app.proxy:get_provider:277 - [proxy] provider = PoolProvider (mode=pool)
2026-08-03 18:37:23.190 | INFO     | app.proxy:_ensure_loaded:245 - [proxy] pool loaded: 15000 IP(s)
2026-08-03 18:37:23.637 | WARNING  | app.browser:goto_with_challenge_retry:155 - __rd_verify challenge (attempt 1/4) — waiting 6s for auto-reload
2026-08-03 18:37:29.766 | INFO     | app.browser:goto_with_challenge_retry:166 - Challenge cleared after 1 wait(s)
2026-08-03 18:37:34.814 | INFO     | app.browser:_capture_impl:393 - [tokens] captured session (doc_id=24922295957467452, form_fields=28, has_lsd=True)
2026-08-03 18:37:34.814 | INFO     | app.graphql_paginator:paginate:517 - [paginate] session tokens ready (pages so far=0)
2026-08-03 18:37:34.920 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=1 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=1)
2026-08-03 18:37:35.985 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=1 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=2)
2026-08-03 18:37:37.086 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=1 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=3)
2026-08-03 18:37:38.190 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=1 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=4)
2026-08-03 18:37:39.255 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=1 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=5)
2026-08-03 18:37:40.320 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=1 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=6)
2026-08-03 18:37:41.420 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=1 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=7)
2026-08-03 18:37:46.448 | INFO     | app.graphql_paginator:_paginate_curl:343 - [curl] page=1 fetched_new=10 fetched_total=10 has_next=True
2026-08-03 18:37:52.291 | INFO     | app.graphql_paginator:_paginate_curl:343 - [curl] page=2 fetched_new=10 fetched_total=20 has_next=True
2026-08-03 18:37:53.083 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=3 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=1)
2026-08-03 18:38:00.055 | INFO     | app.graphql_paginator:_paginate_curl:343 - [curl] page=3 fetched_new=10 fetched_total=30 has_next=True
2026-08-03 18:38:01.184 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=4 transport error: Failed to perform, curl: (56) Recv failure: Connection reset by peer. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=1)
2026-08-03 18:38:02.289 | WARNING  | app.graphql_paginator:_paginate_curl:308 - [curl] page=4 transport error: Failed to perform, curl: (56) Proxy CONNECT aborted. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=2)
